,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,sqft_above,sqft_basement,city,age,age_since_reno
0,2014-05-02 ,313000.0,3.0,1.5,1340,7912,1.5,3,1340,0,Shoreline,65,15
1,2014-05-02 ,342000.0,3.0,2.0,1930,11947,1.0,4,1930,0,Kent,54,0
2,2014-05-02 ,420000.0,3.0,2.25,2000,8030,1.0,4,1000,1000,Bellevue,57,0
3,2014-05-02 ,550000.0,4.0,2.5,1940,10500,1.0,4,1140,800,Redmond,44,28
4,2014-05-02 ,490000.0,2.0,1.0,880,6380,1.0,3,880,0,Seattle,82,26
5,2014-05-02 ,335000.0,2.0,2.0,1350,2560,1.0,3,1350,0,Redmond,44,0
6,2014-05-02 ,640000.0,4.0,2.0,1520,6200,1.5,3,1520,0,Seattle,75,10
7,2014-05-02 ,463000.0,3.0,1.75,1710,7320,1.0,3,1710,0,Lake Forest Park,72,26
8,2014-05-02 ,588500.0,3.0,1.75,2330,14892,1.0,3,1970,360,Sammamish,40,0
9,2014-05-02 ,365000.0,3.0,1.0,1090,6435,1.0,4,1090,0,Seattle,65,11
10,2014-05-02 ,242500.0,3.0,1.5,1200,9720,1.0,4,1200,0,Kent,55,0
11,2014-05-02 ,419000.0,3.0,1.5,1570,6700,1.0,4,1570,0,Bellevue,64,0
12,2014-05-02 ,367500.0,4.0,3.0,3110,7231,2.0,3,3110,0,Auburn,23,0
13,2014-05-02 ,257950.0,3.0,1.75,1370,5858,1.0,3,1370,0,Des Moines,33,20
14,2014-05-02 ,275000.0,3.0,1.5,1180,10277,1.0,3,1180,0,North Bend,37,11
15,2014-05-02 ,750000.0,3.0,1.75,2240,10578,2.0,5,1550,690,Seattle,97,0
16,2014-05-02 ,435000.0,4.0,1.0,1450,8800,1.0,4,1450,0,Bellevue,66,41
17,2014-05-02 ,626000.0,3.0,2.25,1750,1572,2.5,3,1470,280,Seattle,15,0
18,2014-05-02 ,612500.0,4.0,2.5,2730,12261,2.0,3,2730,0,Bothell,29,0
19,2014-05-02 ,495000.0,4.0,1.75,1600,6380,1.0,3,1130,470,Seattle,61,31
20,2014-05-02 ,285000.0,3.0,2.5,2090,10834,1.0,4,1360,730,Federal Way,33,0
21,2014-05-02 ,615000.0,3.0,1.75,2360,7291,1.0,4,1360,1000,Seattle,72,0
22,2014-05-02 ,698000.0,4.0,2.25,2200,11250,1.5,5,1300,900,Kirkland,100,0
23,2014-05-02 ,790000.0,3.0,2.5,2600,4750,1.0,4,1700,900,Seattle,69,21
